ID,Year,Month,Mar/Sng,LowAmount,HiAmount,AddAmount,Percent,PctBasis
FWT,2007,1,S,0.00,2650.00,0.00,0.000,0.00
FWT,2007,1,S,2650.01,10120.00,0.00,10.000,2650.00
FWT,2007,1,S,10120.01,33520.00,747.00,15.000,10120.00
FWT,2007,1,S,33520.01,77075.00,4257.00,25.000,33520.00
FWT,2007,1,S,77075.01,162800.00,15145.75,28.000,77075.00
FWT,2007,1,S,162800.01,351650.00,39148.75,33.000,162800.00
FWT,2007,1,S,351650.01,99999999.99,101469.25,35.000,351650.00
FWT,2007,1,M,0.00,8000.00,0.00,0.000,0.00
FWT,2007,1,M,8000.01,23350.00,0.00,10.000,8000.00
FWT,2007,1,M,23350.01,70700.00,1535.00,15.000,23350.00
FWT,2007,1,M,70700.01,133800.00,8637.50,25.000,70700.00
FWT,2007,1,M,133800.01,203150.00,24412.50,28.000,133800.00
FWT,2007,1,M,203150.01,357000.00,43830.50,33.000,203150.00
FWT,2007,1,M,357000.01,99999999.99,94601.00,35.000,357000.00
FWT,2008,1,S,0.00,2650.00,0.00,0.000,0.00
FWT,2008,1,S,2650.01,10300.00,0.00,10.000,2650.00
FWT,2008,1,S,10300.01,33960.00,765.00,15.000,10300.00
FWT,2008,1,S,33960.01,79725.00,4314.00,25.000,33960.00
FWT,2008,1,S,79725.01,166500.00,15755.25,28.000,79725.00
FWT,2008,1,S,166500.01,359650.00,40052.25,33.000,166500.00
FWT,2008,1,S,359650.01,99999999.99,103791.75,35.000,359650.00
FWT,2008,1,M,0.00,8000.00,0.00,0.000,0.00
FWT,2008,1,M,8000.01,23550.00,0.00,10.000,8000.00
FWT,2008,1,M,23550.01,72150.00,1555.00,15.000,23350.00
FWT,2008,1,M,72150.01,137850.00,8845.00,25.000,72150.00
FWT,2008,1,M,137850.01,207700.00,25270.00,28.000,137850.00
FWT,2008,1,M,207000.01,365100.00,44828.00,33.000,207000.00
FWT,2008,1,M,365100.01,99999999.99,96770.00,35.000,365100.00
FWT,2009,1,S,0.00,2650.00,0.00,0.000,0.00
FWT,2009,1,S,2650.01,10400.00,0.00,10.000,2650.00
FWT,2009,1,S,10400.01,35400.00,775.00,15.000,10400.00
FWT,2009,1,S,35400.01,84300.00,4525.00,25.000,35400.00
FWT,2009,1,S,84300.01,173600.00,16750.00,28.000,84300.00
FWT,2009,1,S,173600.01,375000.00,41754.00,33.000,173600.00
FWT,2009,1,S,375000.01,99999999.99,108216.00,35.000,375000.00
FWT,2009,1,M,0.00,8000.00,0.00,0.000,0.00
FWT,2009,1,M,8000.01,23950.00,0.00,10.000,8000.00
FWT,2009,1,M,23950.01,75650.00,1555.00,15.000,23950.00
FWT,2009,1,M,75650.01,144800.00,8845.00,25.000,75650.00
FWT,2009,1,M,144800.01,216600.00,25270.00,28.000,144800.00
FWT,2009,1,M,216600.01,380700.00,44828.00,33.000,216600.00
FWT,2009,1,M,380700.01,99999999.99,96770.00,35.000,380700.00
FWT,2009,4,S,0.00,7180.00,0.00,0.000,0.00
FWT,2009,4,S,7180.01,10400.00,0.00,10.000,7180.00
FWT,2009,4,S,10400.01,36200.00,322.00,15.000,10400.00
FWT,2009,4,S,36200.01,66530.00,4192.00,25.000,36200.00
FWT,2009,4,S,66530.01,173600.00,11774.50,28.000,66530.00
FWT,2009,4,S,173600.01,375000.00,41754.10,33.000,173600.00
FWT,2009,4,S,375000.01,99999999.99,108216.10,35.000,375000.00
FWT,2009,4,M,0.00,15750.00,0.00,0.000,0.00
FWT,2009,4,M,15750.01,24450.00,0.00,10.000,15750.00
FWT,2009,4,M,24450.01,75650.00,870.00,15.000,24450.00
FWT,2009,4,M,75650.01,118130.00,8550.00,25.000,75650.00
FWT,2009,4,M,118130.01,216600.00,19170.00,28.000,118130.00
FWT,2009,4,M,216600.01,380700.00,46741.60,33.000,216600.00
FWT,2009,4,M,380700.01,99999999.99,100894.60,35.000,380700.00
OH,2007,1,X,0.00,5000.00,0.00,0.710,0.00
OH,2007,1,X,5000.01,10000.00,35.30,1.410,5000.00
OH,2007,1,X,10000.01,15000.00,105.90,2.820,10000.00
OH,2007,1,X,15000.01,20000.00,247.05,3.530,15000.00
OH,2007,1,X,20000.01,40000.00,423.50,4.240,20000.00
OH,2007,1,X,40000.01,80000.00,1270.50,4.940,40000.00
OH,2007,1,X,80000.01,100000.00,3246.90,5.650,80000.00
OH,2007,1,X,100000.01,99999999.99,4376.10,7.060,100000.00
OH,2008,1,X,0.00,5000.00,0.00,0.670,0.00
OH,2008,1,X,5000.01,10000.00,33.60,1.340,5000.00
OH,2008,1,X,10000.01,15000.00,100.80,2.690,10000.00
OH,2008,1,X,15000.01,20000.00,235.15,3.360,15000.00
OH,2008,1,X,20000.01,40000.00,403.15,4.030,20000.00
OH,2008,1,X,40000.01,80000.00,1209.35,4.700,40000.00
OH,2008,1,X,80000.01,100000.00,3090.55,5.380,80000.00
OH,2008,1,X,100000.01,99999999.99,4165.55,6.720,100000.00
OH,2009,1,X,0.00,5000.00,0.00,0.638,0.00
OH,2009,1,X,5000.01,10000.00,31.90,1.276,5000.00
OH,2009,1,X,10000.01,15000.00,95.70,2.552,10000.00
OH,2009,1,X,15000.01,20000.00,223.30,3.190,15000.00
OH,2009,1,X,20000.01,40000.00,382.80,3.828,20000.00
OH,2009,1,X,40000.01,80000.00,1148.40,4.466,40000.00
OH,2009,1,X,80000.01,100000.00,2934.80,5.103,80000.00
OH,2009,1,X,100000.01,99999999.99,3955.40,6.379,100000.00
